Time [s], Analyzer Name, Decoded Protocol Result
4.820050416666667,SPI,MOSI: 0xFFFF
4.840046083333333,SPI,MOSI: 0xFFFF
4.860053750000000,SPI,MOSI: 0xFFFF
4.880049375000000,SPI,MOSI: 0xFFFF
4.900045041666667,SPI,MOSI: 0xFFFF
4.920052708333333,SPI,MOSI: 0xFFFF
4.940048333333333,SPI,MOSI: 0xFFFF
4.960056000000000,SPI,MOSI: 0xFFFF
4.980051666666666,SPI,MOSI: 0xFFFF
5.000047291666666,SPI,MOSI: 0xFFFF
5.020054958333334,SPI,MOSI: 0xFFFF
5.040050625000000,SPI,MOSI: 0xFFFF
5.060046250000000,SPI,MOSI: 0xFFFF
5.080053916666667,SPI,MOSI: 0xFFFF
5.100049541666666,SPI,MOSI: 0xFFFF
5.120057250000000,SPI,MOSI: 0xFFFF
5.140052875000000,SPI,MOSI: 0xFFFF
5.160048500000000,SPI,MOSI: 0xFFFF
5.180056166666667,SPI,MOSI: 0xFFFF
5.200051833333333,SPI,MOSI: 0xFFFF
5.220047458333333,SPI,MOSI: 0xFFFF
5.240055125000000,SPI,MOSI: 0xFFFF
5.260050791666667,SPI,MOSI: 0xFFFF
5.280058458333333,SPI,MOSI: 0xFFFF
5.300054083333333,SPI,MOSI: 0xFFFF
5.320049750000000,SPI,MOSI: 0xFFFF
5.340057416666666,SPI,MOSI: 0xFFFF
5.360053041666666,SPI,MOSI: 0xFFFF
5.380048666666666,SPI,MOSI: 0xFFFF
5.400056375000000,SPI,MOSI: 0xFFFF
5.420052000000000,SPI,MOSI: 0xFFFF
5.440059666666667,SPI,MOSI: 0xFFFF
5.460055333333333,SPI,MOSI: 0xFFFF
5.480050958333333,SPI,MOSI: 0xFFFF
5.500058625000000,SPI,MOSI: 0xFFFF
5.520054250000000,SPI,MOSI: 0xFFFF
5.540049916666667,SPI,MOSI: 0xFFFF
5.560057583333333,SPI,MOSI: 0xFFFF
5.580053208333333,SPI,MOSI: 0xFFFF
5.600060875000000,SPI,MOSI: 0xFFFF
5.620056541666667,SPI,MOSI: 0xFFFF
5.640052166666667,SPI,MOSI: 0xFFFF
5.660059833333333,SPI,MOSI: 0xFFFF
5.680055500000000,SPI,MOSI: 0xFFFF
5.700051125000000,SPI,MOSI: 0xFFFF
5.720058791666666,SPI,MOSI: 0xFFFF
5.740054458333334,SPI,MOSI: 0xFFFF
5.760062125000000,SPI,MOSI: 0xFFFF
5.780057750000000,SPI,MOSI: 0xFFFF
5.800053375000000,SPI,MOSI: 0xFFFF
5.820061083333333,SPI,MOSI: 0xFFFF
5.840056708333333,SPI,MOSI: 0xFFFF
5.860052333333333,SPI,MOSI: 0xFFFF
5.880060000000000,SPI,MOSI: 0xFFFF
